,fl_date,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,dest_airport_id,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,share_code,origin_city,origin_state,dest_city,dest_state,arr_date,dep_datetime,arr_datetime,fl_month,fl_weekday,season,day_num_of_flights,num_flights_6hr,inbound_fl_num,inbound_fl,dep_min_of_day,arr_min_of_day,dep_hr,arr_hr,hr,weather
7556,2019-12-12,AA,N105UW,1606,14635,14100,08:50:00,852.0,2.0,11.0,903.0,1111.0,11.0,11:29:00,1122.0,-7.0,0.0,not cancelled,0.0,159.0,150.0,128.0,993.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Fort Myers, FL,Philadelphia, PA,2019-12-12,2019-12-12 08:50:00,2019-12-12 11:29:00,12,3,1,2,2,0,0,530,689,8,11,2,Partly cloudy
242,2018-01-09,OO,N8828D,7416,14520,13487,16:04:00,1558.0,-6.0,8.0,1606.0,1650.0,6.0,17:13:00,1656.0,-17.0,0.0,not cancelled,0.0,69.0,58.0,44.0,190.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,1,Rhinelander, WI,Minneapolis, MN,2018-01-09,2018-01-09 16:04:00,2018-01-09 17:13:00,1,1,1,2,2,1,1,964,1033,16,17,5,Partly cloudy
2935,2018-03-03,OO,N119SY,5176,11292,11423,14:00:00,1358.0,-2.0,14.0,1412.0,1630.0,4.0,16:40:00,1634.0,-6.0,0.0,not cancelled,0.0,100.0,96.0,78.0,589.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,1,Denver, CO,Des Moines, IA,2018-03-03,2018-03-03 14:00:00,2018-03-03 16:40:00,3,5,2,2,6,0,0,840,1000,14,16,4,Sunny
8672,2019-01-11,MQ,N684JW,3584,11003,13930,14:41:00,1437.0,-4.0,11.0,1448.0,1523.0,16.0,15:56:00,1539.0,-17.0,0.0,not cancelled,0.0,75.0,62.0,35.0,196.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,1,Cedar Rapids/Iowa City, IA,Chicago, IL,2019-01-11,2019-01-11 14:41:00,2019-01-11 15:56:00,1,4,1,1,2,1,1,881,956,14,15,4,Partly cloudy
5771,2019-11-17,AA,N978AN,1304,13930,10423,15:10:00,1649.0,99.0,15.0,1704.0,1912.0,7.0,17:55:00,1919.0,84.0,0.0,not cancelled,0.0,165.0,150.0,128.0,977.0,37.0,0.0,0.0,0.0,47.0,no first departure,0.0,0.0,0,Chicago, IL,Austin, TX,2019-11-17,2019-11-17 15:10:00,2019-11-17 17:55:00,11,6,4,5,3,0,0,910,1075,15,17,5,Light drizzle
1086,2018-08-23,MQ,N693AE,4194,13930,14633,13:15:00,1310.0,-5.0,19.0,1329.0,1415.0,4.0,14:23:00,1419.0,-4.0,0.0,not cancelled,0.0,68.0,69.0,46.0,268.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,1,Chicago, IL,Rochester, MN,2018-08-23,2018-08-23 13:15:00,2018-08-23 14:23:00,8,3,3,14,10,1,1,795,863,13,14,4,Sunny
8652,2019-01-11,MQ,N616AE,3565,11995,13303,07:00:00,700.0,0.0,46.0,746.0,920.0,7.0,09:12:00,927.0,15.0,0.0,not cancelled,0.0,132.0,147.0,94.0,710.0,0.0,0.0,15.0,0.0,0.0,no first departure,0.0,0.0,1,Greensboro/High Point, NC,Miami, FL,2019-01-11,2019-01-11 07:00:00,2019-01-11 09:12:00,1,4,1,1,1,0,0,420,552,7,9,2,Sunny
696,2018-08-03,9E,N136EV,5199,10397,11721,15:37:00,1532.0,-5.0,33.0,1605.0,1726.0,1.0,17:39:00,1727.0,-12.0,0.0,not cancelled,0.0,122.0,115.0,81.0,645.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,1,Atlanta, GA,Flint, MI,2018-08-03,2018-08-03 15:37:00,2018-08-03 17:39:00,8,4,3,6,6,0,0,937,1059,15,17,5,Patchy rain possible
13362,2019-04-12,OO,N898SK,3653,15376,14869,11:00:00,1055.0,-5.0,12.0,1107.0,1338.0,4.0,13:55:00,1342.0,-13.0,0.0,not cancelled,0.0,115.0,107.0,91.0,601.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,1,Tucson, AZ,Salt Lake City, UT,2019-04-12,2019-04-12 11:00:00,2019-04-12 13:55:00,4,4,2,3,4,1,1,660,835,11,13,3,Overcast
5971,2019-11-25,YV,N85358,6374,12266,11109,10:00:00,1000.0,0.0,15.0,1015.0,1119.0,6.0,11:31:00,1125.0,-6.0,0.0,not cancelled,0.0,151.0,145.0,124.0,809.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,1,Houston, TX,Colorado Springs, CO,2019-11-25,2019-11-25 10:00:00,2019-11-25 11:31:00,11,0,4,14,7,0,0,600,691,10,11,3,Sunny
