,fl_date,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,dest_airport_id,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,share_code,origin_city,origin_state,dest_city,dest_state,arr_date,dep_datetime,arr_datetime,fl_month,fl_weekday,season,day_num_of_flights,num_flights_6hr,inbound_fl_num,inbound_fl,dep_min_of_day,arr_min_of_day,dep_hr,arr_hr,hr,weather
13131,2019-04-02,UA,N76055,1523,11618,14843,08:25:00,838.0,13.0,27.0,905.0,1226.0,13.0,12:20:00,1239.0,19.0,0.0,not cancelled,0.0,235.0,241.0,201.0,1608.0,13.0,0.0,6.0,0.0,0.0,no first departure,0.0,0.0,0,Newark, NJ,San Juan, PR,2019-04-02,2019-04-02 08:25:00,2019-04-02 12:20:00,4,1,2,5,2,0,0,505,740,8,12,2,Overcast
7511,2019-12-12,UA,N492UA,1513,11618,12451,18:30:00,1917.0,47.0,34.0,1951.0,2156.0,5.0,21:12:00,2201.0,49.0,0.0,not cancelled,0.0,162.0,164.0,125.0,820.0,10.0,0.0,2.0,0.0,37.0,no first departure,0.0,0.0,0,Newark, NJ,Jacksonville, FL,2019-12-12,2019-12-12 18:30:00,2019-12-12 21:12:00,12,3,1,7,2,0,0,1110,1272,18,21,6,Clear
13103,2019-05-30,WN,N904WN,34,11259,10397,16:20:00,1749.0,89.0,11.0,1800.0,2028.0,13.0,19:25:00,2041.0,76.0,0.0,not cancelled,0.0,125.0,112.0,88.0,721.0,18.0,0.0,0.0,0.0,58.0,no first departure,0.0,0.0,0,Dallas, TX,Atlanta, GA,2019-05-30,2019-05-30 16:20:00,2019-05-30 19:25:00,5,3,2,15,6,0,0,980,1165,16,19,5,Sunny
13931,2019-03-07,AS,N442AS,672,14747,11292,07:30:00,727.0,-3.0,138.0,945.0,1247.0,7.0,11:05:00,1254.0,109.0,0.0,not cancelled,0.0,155.0,267.0,122.0,1024.0,0.0,0.0,109.0,0.0,0.0,no first departure,0.0,0.0,0,Seattle, WA,Denver, CO,2019-03-07,2019-03-07 07:30:00,2019-03-07 11:05:00,3,3,2,13,8,0,0,450,665,7,11,2,Moderate or heavy snow with thunder
4448,2019-02-22,9E,N937XJ,5225,12953,13485,20:59:00,2115.0,16.0,44.0,2159.0,2320.0,4.0,22:45:00,2324.0,39.0,0.0,not cancelled,0.0,166.0,189.0,141.0,812.0,0.0,0.0,23.0,0.0,16.0,no first departure,0.0,0.0,1,New York, NY,Madison, WI,2019-02-22,2019-02-22 20:59:00,2019-02-22 22:45:00,2,4,1,6,4,0,0,1259,1365,20,22,6,Overcast
9508,2018-05-21,AA,N174US,618,13930,11057,17:15:00,1908.0,113.0,58.0,2006.0,2235.0,12.0,20:15:00,2247.0,152.0,0.0,not cancelled,0.0,120.0,159.0,89.0,599.0,13.0,0.0,39.0,0.0,100.0,no first departure,0.0,0.0,0,Chicago, IL,Charlotte, NC,2018-05-21,2018-05-21 17:15:00,2018-05-21 20:15:00,5,0,2,1,1,0,0,1035,1215,17,20,5,Cloudy
12834,2019-05-22,AS,N586AS,684,14747,14107,07:45:00,815.0,30.0,36.0,851.0,1121.0,8.0,10:35:00,1129.0,54.0,0.0,not cancelled,0.0,170.0,194.0,150.0,1107.0,30.0,0.0,24.0,0.0,0.0,no first departure,0.0,0.0,0,Seattle, WA,Phoenix, AZ,2019-05-22,2019-05-22 07:45:00,2019-05-22 10:35:00,5,2,2,12,8,0,0,465,635,7,10,2,Sunny
986,2018-08-21,WN,N8701Q,2206,10821,13796,13:40:00,1344.0,4.0,43.0,1427.0,1705.0,6.0,16:30:00,1711.0,41.0,0.0,not cancelled,0.0,350.0,387.0,338.0,2447.0,0.0,0.0,41.0,0.0,0.0,no first departure,0.0,0.0,0,Baltimore, MD,Oakland, CA,2018-08-21,2018-08-21 13:40:00,2018-08-21 16:30:00,8,1,3,25,9,0,0,820,990,13,16,4,Moderate or heavy rain shower
10358,2018-09-13,KS,N680PA,3295,11445,10299,14:55:00,1645.0,110.0,3.0,1648.0,1852.0,3.0,17:25:00,1855.0,90.0,0.0,not cancelled,0.0,150.0,130.0,124.0,792.0,90.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,1,Unalaska, AK,Anchorage, AK,2018-09-13,2018-09-13 14:55:00,2018-09-13 17:25:00,9,3,4,3,5,1,1,895,1045,14,17,4,Patchy light drizzle
9106,2019-01-27,OO,N807SK,3535,13487,11042,13:37:00,1403.0,26.0,15.0,1418.0,1635.0,7.0,16:26:00,1642.0,16.0,0.0,not cancelled,0.0,109.0,99.0,77.0,622.0,16.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,1,Minneapolis, MN,Cleveland, OH,2019-01-27,2019-01-27 13:37:00,2019-01-27 16:26:00,1,6,1,2,1,0,0,817,986,13,16,4,Overcast
11231,2018-04-20,AA,N757UW,1782,14122,14100,06:00:00,600.0,0.0,43.0,643.0,733.0,3.0,07:12:00,736.0,24.0,0.0,not cancelled,0.0,72.0,96.0,50.0,268.0,0.0,0.0,24.0,0.0,0.0,no first departure,0.0,0.0,0,Pittsburgh, PA,Philadelphia, PA,2018-04-20,2018-04-20 06:00:00,2018-04-20 07:12:00,4,4,2,1,1,0,0,360,432,6,7,2,Partly cloudy
7361,2019-12-01,OO,N805SK,3931,11775,13487,15:15:00,1539.0,24.0,29.0,1608.0,1657.0,5.0,16:29:00,1702.0,33.0,0.0,not cancelled,0.0,74.0,83.0,49.0,196.0,0.0,0.0,9.0,0.0,24.0,no first departure,0.0,0.0,1,Sioux Falls, SD,Minneapolis, MN,2019-12-01,2019-12-01 15:15:00,2019-12-01 16:29:00,12,6,1,1,2,1,1,915,989,15,16,5,Blowing snow
4538,2019-02-26,MQ,N825AE,3623,12953,11433,16:22:00,1649.0,27.0,40.0,1729.0,1909.0,6.0,18:38:00,1915.0,37.0,0.0,not cancelled,0.0,136.0,146.0,100.0,502.0,0.0,0.0,10.0,0.0,27.0,no first departure,0.0,0.0,1,New York, NY,Detroit, MI,2019-02-26,2019-02-26 16:22:00,2019-02-26 18:38:00,2,1,1,3,1,0,0,982,1118,16,18,5,Partly cloudy
6382,2018-12-16,WN,N954WN,3460,12191,15370,22:25:00,2255.0,30.0,19.0,2314.0,17.0,6.0,23:50:00,23.0,33.0,0.0,not cancelled,0.0,85.0,88.0,63.0,453.0,0.0,0.0,3.0,0.0,30.0,no first departure,0.0,0.0,0,Houston, TX,Tulsa, OK,2018-12-16,2018-12-16 22:25:00,2018-12-16 23:50:00,12,6,1,27,7,0,0,1345,1430,22,23,7,Overcast
